model,variant,test_accuracy,test_f1,best_val_f1
audio,base,0.4664484451718494,0.3570781148364336,0.3240186854724528
audio,tp_cw,0.2536824877250409,0.2616194272737772,0.2585846457799244
video,base,0.4570376432078559,0.3252326225576746,0.281386702622742
video,tp_cw,0.2360883797054009,0.2614776849047325,0.2558685529592925
early_fusion,base,0.4496726677577741,0.3690538510960979,0.3459123014476124
early_fusion,tp_cw,0.2479541734860884,0.2597843588503136,0.2744791562588448
late_fusion,base,0.4668576104746317,0.3205003081655991,
late_fusion,tp_cw,0.2864157119476268,0.296993925402911,
